Year Mnth Day Hr,PRCP(mm/day)_nldas,PRCP(mm/day)_maurer,prcp(mm/day)_daymet,srad(W/m2)_daymet,tmax(C)_daymet,tmin(C)_daymet,vp(Pa)_daymet
1998 04 04 12,1.58,0.46,4.05,356.7,26.74,11.77,1381.24
1998 04 05 12,0,0,0,490,21.3,6.13,930.77
1998 04 06 12,2.05,0,0,511.81,22.64,5.65,919.74
1998 04 07 12,0,1.79,0,513.5,25.86,7.76,1061.14
1998 04 08 12,52.66,39.33,24.12,313.55,26.5,13.51,1559.54
1998 04 09 12,7.53,16.35,48.22,208.81,23.88,16,1800
1998 04 10 12,0,1.15,0,469.78,24.33,9.37,1189.7
1998 04 11 12,0,0,0,438.08,18.77,6.02,923.6
1998 04 12 12,0,0,0,507.37,22.67,5.93,920
1998 04 13 12,0,0,0,514.38,23.92,6.53,962.68
1998 04 14 12,24.49,37.76,0,451.52,23.21,9.52,1201.27
1998 04 15 12,25.61,22.01,59.28,232.63,21.45,13.12,1499.24
1998 04 16 12,0,3.14,0,354.81,26.01,15.93,1794.2
1998 04 17 12,1.99,24.98,0,277.38,25.92,18.22,2097.59
1998 04 18 12,31.7,9.86,35.94,246.65,26.19,16.97,1919.45
1998 04 19 12,8.1,6.19,0,350.25,26.5,16.56,1882.98
1998 04 20 12,0.04,1.89,8.64,330.66,21.49,8.96,1157.13
1998 04 21 12,0.24,0,0,472.88,23.74,9.47,1197.73
1998 04 22 12,0.05,0,0,447.1,24,10.95,1316.08
1998 04 23 12,0.3,0.3,0,463.72,20.78,7.5,1040
1998 04 24 12,0.09,0.1,0,479.96,21.35,7.38,1030.28
1998 04 25 12,0.21,0,0,520.93,23.96,7.5,1040
1998 04 26 12,0.05,0,0,525.09,25.51,8.48,1118.76
1998 04 27 12,0.01,0,0,502.9,26.03,10.21,1257.18
1998 04 28 12,0.58,0,0,448.24,25.5,12.49,1439.36
1998 04 29 12,3.87,22.91,0,275.42,19.87,13.01,1482.88
1998 04 30 12,31.8,17.62,24.75,252.53,23.61,14.87,1698.63
1998 05 01 12,4.33,8.92,15.08,305.95,25.91,14.66,1665.78
1998 05 02 12,0.57,2.38,0.2,457.55,25.98,13,1480
1998 05 03 12,6.67,13.81,0,446.79,26,13.5,1560.13
1998 05 04 12,17.84,10.24,25.03,299.82,24.5,14,1600
1998 05 05 12,0,1.9,0,488.53,25.84,11.79,1382.87
1998 05 06 12,0,1.51,0,500.42,27.95,12.98,1478.93
1998 05 07 12,3.88,2.11,5.34,350.66,29,15.51,1761.15
1998 05 08 12,4.91,3.41,3.98,283.32,29,18.91,2185.63
1998 05 09 12,0,0.96,0,489.18,29.5,14.86,1698.34
1998 05 10 12,2.04,0.75,0,444.43,29.29,16.73,1898.54
1998 05 11 12,0,0.25,0,459.98,29.18,16,1800
